software,all,all+vd
ant-1.7,0.464187056,0.981927711
hazelcast-3.3,0.312057174,0.911262799
ivy-2.0,0.289578313,1
jedit-4.2,0.30037594,0.959183673
log4j-1.1,0.666666667,1
lucene-2.2,0.745454545,1
mapdb-0.9.6,0.333333333,0.941176471
Netty,0.522557666,0.990654206
poi-2.0,0.205882353,0.972972973
synapse-1.1,0.516666667,1
tomcat-6.0.38,0.256127598,0.93902439
xerces-1.2,0.280350877,0.96875
