software,all,all+vd
ant-1.7,0.303604829,0.102785887
hazelcast-3.3,0.306386095,0.106994447
ivy-2.0,0.241540423,0.078816803
jedit-4.2,0.29729029,0.095127641
log4j-1.1,0.32996242,0.106060973
lucene-2.2,0.662680297,0.310454013
mapdb-0.9.6,0.346069024,0.127151483
Netty,0.334611663,0.126231862
poi-2.0,0.234572567,0.080700561
synapse-1.1,0.321271789,0.109583366
tomcat-6.0.38,0.244516254,0.074603464
xerces-1.2,0.30268847,0.086696362
