software,all,all+vd
ant-1.7,0.347016868,0.988032258
hazelcast-3.3,0.251079795,0.946330252
ivy-2.0,0.315874765,1
jedit-4.2,0.354834595,0.976204571
log4j-1.1,0.332561573,1
lucene-2.2,0.146751041,1
mapdb-0.9.6,0.355524917,0.93415447
Netty,0.190201519,0.992843295
poi-2.0,0.150614772,0.984509693
synapse-1.1,0.287102749,1
tomcat-6.0.38,0.298452306,0.96544767
xerces-1.2,0.152252174,0.981426729
