software,all,all+vd
ant-1.7,0.432025689,0.74950634
hazelcast-3.3,0.288527574,0.623867257
ivy-2.0,0.327547387,0.56857026
jedit-4.2,0.375763222,0.593257401
log4j-1.1,0.416679581,0.799401075
lucene-2.2,0.302392599,0.959358739
mapdb-0.9.6,0.409875504,0.659534109
Netty,0.354196489,0.839379597
poi-2.0,0.212636285,0.564730305
synapse-1.1,0.372163031,0.787912046
tomcat-6.0.38,0.322486732,0.525118073
xerces-1.2,-0.023003745,0.622074773
