software,all,all+vd
ant-1.7,0.213196366,0.003818878
hazelcast-3.3,0.196805625,0.013071096
ivy-2.0,0.185751881,0.001049603
jedit-4.2,0.219179061,0.005323813
log4j-1.1,0.214950448,6.89E-09
lucene-2.2,0.442169366,6.76E-05
mapdb-0.9.6,0.253086068,0.012890386
Netty,0.301003375,0.003275372
poi-2.0,0.219773121,0.004046983
synapse-1.1,0.225898278,7.01E-05
tomcat-6.0.38,0.188254691,0.00458265
xerces-1.2,0.192636659,0.003807273
