,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7
EigenValue,6.3330472189424984,1.85263927023778,1.0905739120822389,1.012595838437199,0.9559233476426982,0.6705916033221478,0.6030135495943181,0.46606204259339584
Proportion,45.16249700848659,13.21162034757256,7.7771472940591755,7.22106672242091,6.816921433828303,4.782151503365841,4.300235998268426,3.323601558099247
Cumulative,45.16249700848659,58.37411735605915,66.15126465011832,73.37233137253924,80.18925280636753,84.97140430973337,89.27164030800179,92.59524186610103

WMC,0.4458713185644707,0.013250060560426337,-0.05616180652870225,0.04994467836019139,0.0021244477868302488,0.06263794195062423,-0.08849144253144357,0.09023006911846823
DIT,0.045528922811064965,0.5440767878593938,-0.22684739541157573,-0.04892431424663909,0.021900950833762114,-0.021700937809327733,-0.031363809639001726,0.070335928651936
NOC,0.0019288420208290336,0.0032637164611699536,-0.0011382489747624148,-0.0009319081765280977,-0.9990325200724972,0.0014067727899364458,-0.0001580372343269137,0.0006742615793137147
CBO,-0.001929379547201281,-0.009654806573935082,0.0186984904572789,-0.029317192440946112,-9.312649579729103e-05,-0.03383242468197992,-0.9575610756430829,-0.03235490590745981
RFC,0.2623849054562976,0.020544458650760357,-0.12078936762452118,0.16468258998499608,0.006158332678797248,0.12401033650718533,-0.09568075829208604,0.16236765552604038
LCOM,0.6094894773720596,-0.027272032172919167,-0.041108556899041304,0.020779527823207154,-0.017607310568599897,-0.059230660498110606,0.10447221647460359,-0.15540521977570276
NPM,0.5267828942941066,0.004785635542803497,0.06977011298929847,0.00915950419398389,0.010207996927512787,0.07600068419230271,-0.09419621642890677,0.04709864665396553
DAM,-0.021016641437804358,-0.01380275655170132,0.0057754152924893104,-0.004462028692269116,-0.0008362984034161547,-0.005274467928690741,0.03394612638914532,0.9450660741539842
MOA,-0.09688567062184658,-0.010571202746246964,-0.6069185451178618,0.13386948138637092,0.01432601974342442,0.16782906064620975,0.02261057692375038,-0.16446308437180643
MFA,-0.01944344609442633,0.8357508139342518,0.09384039729667967,0.01422412111399883,-0.011613594666893648,0.0004130523386583935,0.022972849241695736,-0.038718424266446984
CAM,0.07022349036107095,-0.05992525424608659,-0.7136369921616857,-0.14554801878403495,-0.012410910108656198,-0.16271486291716297,0.03242980418340903,0.07877432140385228
MAX_CC,-0.23865103195459422,0.010575315713003847,-0.1625631374892992,0.5550135854139263,-0.020490245799794235,0.1213048623503979,-0.16946290212700316,0.06528695240015903
AVG_CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOC,0.09580018894355583,-0.003183268468655469,0.10162243555650567,0.7855975926320696,0.00893275780602499,-0.12170284593870238,0.11004052967503632,-0.030744266770153583
VD,0.005005230715177389,-0.004192951259448963,0.025810509939869664,-0.04565497708102256,-0.0017943658044215494,0.9410626141125482,0.03536302749151907,-0.004656175494582096

,METRICS,PC_MAX
PC0,LCOM,0.6094894773720596
PC1,MFA,0.8357508139342518
PC2,CAM,-0.7136369921616857
PC3,LOC,0.7855975926320696
PC4,NOC,-0.9990325200724972
PC5,vd,0.9410626141125482
PC6,CBO,-0.9575610756430829
PC7,DAM,0.9450660741539842
