,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7
EigenValue,5.976802784521707,1.9168429626449512,1.6235884382240142,1.1811445679309975,1.039274099954899,0.7721616691566752,0.6124035786073339,0.49481166502817836
Proportion,39.792506602518515,12.762004870660014,10.809567586053777,7.863853754659955,6.919305015614843,5.1409172137486845,4.077275815131054,3.294369440903786
Cumulative,39.792506602518515,52.55451147317853,63.36407905923231,71.22793281389227,78.1472378295071,83.28815504325578,87.36543085838684,90.65980029929062

WMC,-0.4511873509003286,-0.008596914604856452,-0.002532411451394866,-0.12111265514768957,0.0031314183008523946,0.0017301649721305082,-0.037701118060564545,-0.1151253614621802
DIT,0.003078960148247839,0.7121702974699419,-0.0007721715295336325,-0.046554139761933726,0.0026826771473848353,0.03700804983037327,-0.02194899934962798,-0.019868727119732643
NOC,-0.0036900451583389026,-0.0016155972723489473,0.01022186141478665,-0.027058972912119315,-0.9788518080867198,0.026366614575966105,0.01688608528117438,0.0057566062811240165
CBO,-0.014258046981774441,0.03200702716741396,-0.06125880251276713,0.3205326879156148,-0.1445402389301315,-0.3120180690448163,-0.09998908018078587,-0.6173936263334437
RFC,-0.30285194479970373,0.06842237612796409,0.1628381247534133,-0.005895203067703373,0.04856760710466829,-0.12986366380794626,0.07383046981517542,-0.14901639427141578
LCOM,-0.6255569717660078,-0.019935756431657046,-0.05629532724222854,0.12150056697307486,-0.02051362913169401,0.07609883970105569,0.01838205732398714,0.18889799579004152
NPM,-0.4800338248511612,-0.022892294897049893,-0.0912204700515935,-0.1583898962431936,-0.009374380364975038,0.040950355154031455,-0.06701684469414243,-0.09794870972007126
DAM,0.002961135707831245,-0.0018278569612274404,-0.013972460788004407,0.007229962440651316,-0.016617900632627594,-0.011954547888625659,0.9806637030651589,-0.007377247789889198
MOA,0.028561901802516658,-0.020289015690779524,-0.009091678457544636,-0.09158736930626177,0.042719390157059986,-0.8827681163410622,0.021710818504338612,0.04260148712473409
MFA,0.013403635277972729,0.6920616995567805,-0.013699889607264058,0.027211619519255083,0.0012640531493225316,-0.0030502075331036026,0.018658296034031917,0.03182936753308991
CAM,-0.05620362410008436,0.02900233416525024,-0.023412656335211775,0.18450466958602083,-0.09863509573800705,-0.24819878190787,-0.0786030477301925,0.7274532210134438
MAX_CC,0.013432364295982041,0.02905821631278403,0.6507333965696592,-0.0037981555638940353,-0.04512045928159936,-0.061088714813176126,-0.0330136224439369,0.05787959332875622
AVG_CC,0.07778986952535269,-0.054990367899182886,0.646351080330698,-0.028290304916763397,0.00326969313676035,0.11083265822493346,-0.027403131302639258,-0.03637940952411601
LOC,-0.2689022247987381,0.043145381523689165,0.34040770905136497,0.12044415888094123,0.048524352549427344,-0.10508216752654054,0.08241013402046081,-0.025134583509698372
VD,0.005208990950366393,0.013191905474211701,0.0038028727855631828,-0.8838902747032382,-0.04289538160580475,-0.0902886047330197,-0.014224098613384431,-0.01688799060929838

,METRICS,PC_MAX
PC0,LCOM,-0.6255569717660078
PC1,DIT,0.7121702974699419
PC2,MAX_CC,0.6507333965696592
PC3,VD,-0.8838902747032382
PC4,NOC,-0.9788518080867198
PC5,MOA,-0.8827681163410622
PC6,DAM,0.9806637030651589
PC7,CAM,0.7274532210134438
