software,all,all+vd
ant-1.7,0.811751134,0.814361659
hazelcast-3.3,0.813095532,0.817162498
ivy-2.0,0.75788854,0.765962171
jedit-4.2,0.806756825,0.80564004
log4j-1.1,0.788095238,0.7984375
lucene-2.2,0.656458123,0.643552707
mapdb-0.9.6,0.886057692,0.88780722
Netty,0.870072353,0.867378806
poi-2.0,0.7713493,0.774390142
synapse-1.1,0.737523382,0.748295455
tomcat-6.0.38,0.812956778,0.809695733
xerces-1.2,0.777124908,0.772839202
