software,all,all+vd
ant-1.7,0.137081556,0.136973315
hazelcast-3.3,0.099253086,0.098043316
ivy-2.0,0.097411549,0.098276167
jedit-4.2,0.100336272,0.100497163
log4j-1.1,0.158239047,0.158407148
lucene-2.2,0.231520281,0.231800529
mapdb-0.9.6,0.102572747,0.107203533
Netty,0.139213023,0.141833439
poi-2.0,0.09716686,0.09512809
synapse-1.1,0.174479212,0.172610696
tomcat-6.0.38,0.080585508,0.08121479
xerces-1.2,0.117404478,0.116767424
