software,all,all+vd
ant-1.7,0.39301289,0.394520054
hazelcast-3.3,0.418865213,0.414743481
ivy-2.0,0.278517305,0.278882917
jedit-4.2,0.341127092,0.341959615
log4j-1.1,0.456215053,0.462317656
lucene-2.2,0.621010753,0.621172759
mapdb-0.9.6,0.472999554,0.473939445
Netty,0.385542461,0.383741166
poi-2.0,0.235212602,0.234186486
synapse-1.1,0.42664152,0.421107318
tomcat-6.0.38,0.257062408,0.257486384
xerces-1.2,0.336822362,0.341815215
